question,answer,babbage_no_cot,babbage_cot,davinci_no_cot,davinci_cot
"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?","Natalia sold 48/2 = <<48/2=24>>24 clips in May.
Natalia sold 48+24 = <<48+24=72>>72 clips altogether in April and May.
#### 72",A: The answer is 24.,A: Natalia sold 48 clips in April. Then she sold 48 - 12 = 36 clips in May. So she sold 36 clips in April and 36 clips in May. 36 - 12 = 24 clips. The answer is 24.,A: The answer is 72.,"A: Natalia sold 48 clips in April. She sold half as many clips in May. So in May she sold 48 / 2 = 24 clips. In total, she sold 48 + 24 = 72 clips."
"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?","Weng earns 12/60 = $<<12/60=0.2>>0.2 per minute.
Working 50 minutes, she earned 0.2 x 50 = $<<0.2*50=10>>10.
#### 10",A: The answer is 5.,A: Weng started with 12 dollars an hour. She did 50 minutes of babysitting. So she earned 12 * 50 = 600 dollars. 600 - 50 = 550 dollars. The answer is 550.,A: The answer is $6.,A: Weng earns 12 dollars an hour. She worked 50 minutes. 50 minutes is 50/60 of an hour. So she worked 50/60 of an hour. 50/60 of an hour is 50/60 * 12 = 10 dollars. The answer is 10.
"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?","In the beginning, Betty has only 100 / 2 = $<<100/2=50>>50.
Betty's grandparents gave her 15 * 2 = $<<15*2=30>>30.
This means, Betty needs 100 - 50 - 30 - 15 = $<<100-50-30-15=5>>5 more.
#### 5",A: The answer is 20.,A: Betty has 100 dollars. Half of that is $50. Her parents gave her $15 and her grandparents gave her $35. So she has 100 - 15 = 85 dollars. 85 dollars - 35 dollars = 50 dollars more. The answer is 50 dollars.,A: The answer is 25.,A: Betty needs 100 dollars. She has 50 dollars. Her parents gave her 15 dollars. Her grandparents gave her 30 dollars. So she has 15 + 30 = 45 dollars. She needs 100 - 45 = 55 dollars. The answer is 55.
"Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?","Maila read 12 x 2 = <<12*2=24>>24 pages today.
So she was able to read a total of 12 + 24 = <<12+24=36>>36 pages since yesterday.
There are 120 - 36 = <<120-36=84>>84 pages left to be read.
Since she wants to read half of the remaining pages tomorrow, then she should read 84/2 = <<84/2=42>>42 pages.
#### 42",A: The answer is 24.,"A: Julie started with 120 pages. She read 12 pages yesterday. Today, she read twice as many pages as yesterday. So she read 120 - 12 = 108 pages. The answer is 108.",A: The answer is 60.,"A: Julie started with 120 pages. Yesterday, she read 12 pages. Today, she read twice as many pages as yesterday. So today she read 12 x 2 = 24 pages. She wants to read half of the remaining pages tomorrow. So she wants to read 120 - 24 = 96 pages. If she wants to read half of the remaining pages, then she should read 96 ÷ 2 = 48 pages. The answer is 48."
James writes a 3-page letter to 2 different friends twice a week.  How many pages does he write a year?,"He writes each friend 3*2=<<3*2=6>>6 pages a week
So he writes 6*2=<<6*2=12>>12 pages every week
That means he writes 12*52=<<12*52=624>>624 pages a year
#### 624",A: The answer is 52.,"A: James writes a 3-page letter to 2 different friends twice a week. 5 * 2 = 10 pages a year. 10 pages a year is 10 * 10 = 100 pages. 100 pages is 100 * 100 = 10,000 pages. So James writes 10,000 pages a year.",A: The answer is 624.,A: James writes a 3-page letter to 2 different friends twice a week. So he writes 3 x 2 x 52 = 312 pages a year.
"Mark has a garden with flowers. He planted plants of three different colors in it. Ten of them are yellow, and there are 80% more of those in purple. There are only 25% as many green flowers as there are yellow and purple flowers. How many flowers does Mark have in his garden?","There are 80/100 * 10 = <<80/100*10=8>>8 more purple flowers than yellow flowers.
So in Mark's garden, there are 10 + 8 = <<10+8=18>>18 purple flowers.
Purple and yellow flowers sum up to 10 + 18 = <<10+18=28>>28 flowers.
That means in Mark's garden there are 25/100 * 28 = <<25/100*28=7>>7 green flowers.
So in total Mark has 28 + 7 = <<28+7=35>>35 plants in his garden.
#### 35",A: The answer is 30.,"A: Mark started with 10 plants of 3 different colors. Then he added 10 more plants. So he had 10 + 10 = 20 plants. 20 - 10 = 10 flowers are yellow, and 80% more of those are purple. So there are 80% + 25% = 105% more of those than there are of the other colors. So there are 105% + 25% = 130% more flowers than there are of the other colors. So there are 130% + 25% = 155% more flowers than there are of the other colors. So there are 155% + 25% = 180% more flowers than there are of the other colors. So there are 180% + 25% = 205% more flowers than there are of the other colors. So there are 205% + 25% = 230% more flowers than there are of the other colors. So there are 230% + 25% = 255% more flowers than there are of the other colors. So there are 255% + 25% = 280% more flowers than there are of the other colors. So there are 280%",A: The answer is 100.,"A: There are 10 yellow flowers. There are 80% more purple flowers. So there are 10 x 1.8 = 18 purple flowers. There are 25% as many green flowers as yellow and purple. So there are 10 x 0.25 = 2.5 green flowers. In total, there are 10 + 18 + 2.5 = 30 flowers. The answer is 30."
"Albert is wondering how much pizza he can eat in one day. He buys 2 large pizzas and 2 small pizzas. A large pizza has 16 slices and a small pizza has 8 slices. If he eats it all, how many pieces does he eat that day?","He eats 32 from the largest pizzas because 2 x 16 = <<2*16=32>>32
He eats 16 from the small pizza because 2 x 8 = <<2*8=16>>16
He eats 48 pieces because 32 + 16 = <<32+16=48>>48
#### 48",A: The answer is 16.,A: Albert started with 2 large pizzas and 2 small pizzas. He ate 16 slices of a large pizza and 8 slices of a small pizza. So he ate 16 + 8 = 24 slices. The answer is 24.,A: The answer is 36.,A: Albert starts with 2 large pizzas. Each large pizza has 16 slices. So 16 x 2 = 32 slices. He also has 2 small pizzas. Each small pizza has 8 slices. 8 x 2 = 16 slices. So he has 32 + 16 = 48 slices. The answer is 48.
"Ken created a care package to send to his brother, who was away at boarding school.  Ken placed a box on a scale, and then he poured into the box enough jelly beans to bring the weight to 2 pounds.  Then, he added enough brownies to cause the weight to triple.  Next, he added another 2 pounds of jelly beans.  And finally, he added enough gummy worms to double the weight once again.  What was the final weight of the box of goodies, in pounds?","To the initial 2 pounds of jelly beans, he added enough brownies to cause the weight to triple, bringing the weight to 2*3=<<2*3=6>>6 pounds.
Next, he added another 2 pounds of jelly beans, bringing the weight to 6+2=<<6+2=8>>8 pounds.
And finally, he added enough gummy worms to double the weight once again, to a final weight of 8*2=<<8*2=16>>16 pounds.
#### 16",A: The answer is 11.5.,A: There were originally 2 pounds of jelly beans. Then 3 pounds of jelly beans. 2 x 3 = 6 pounds. 6 + 2 = 8 pounds. The answer is 8 pounds.,A: The answer is 6.,A: Ken started with 2 pounds of jelly beans. Then he added 3 times as much brownies. That is 3 x 2 = 6 pounds. Then he added 2 more pounds of jelly beans. That is 6 + 2 = 8 pounds. Then he added 2 times as much gummy worms. That is 2 x 8 = 16 pounds. The answer is 16.
"Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?","Let S be the amount Alexis paid for the shoes.
She spent S + 30 + 46 + 38 + 11 + 18 = S + <<+30+46+38+11+18=143>>143.
She used all but $16 of her budget, so S + 143 = 200 - 16 = 184.
Thus, Alexis paid S = 184 - 143 = $<<184-143=41>>41 for the shoes.
#### 41",A: The answer is $3.,"A: Alexis bought a button-up shirt, suit pants, suit coat, socks, and belt. She spent $30 on a shirt, $46 on pants, $38 on coat, $11 on socks, and $18 on belt. So she spent $30 + $46 + $38 + $11 + $18 = $150. So she has $16 left. The answer is 16.",A: The answer is $12.,"A: Alexis started with $200. She spent $30 on a shirt, $46 on pants, $38 on a coat, $11 on socks, and $18 on a belt. She also spent $x on shoes. She has $16 left from her budget. 200 - 30 - 46 - 38 - 11 - 18 - x = 16. 200 - 30 - 46 - 38 - 11 - 18 - x = 16. 200 - 30 - 46 - 38 - 11 - 18 - x = 16. 200 - 30 - 46 - 38 - 11 - 18 - x = 16. 200 - 30 - 46 - 38 - 11 - 18 - x = 16. 200 - 30 - 46 - 38 - 11 - 18 - x = 16. 200 - 30 - 46 - 38 - 11 - 18 - x = 16. 200 - 30 - 46 - 38 - 11 - 18 - x = 16. 200 - 30 - 46 - 38 - 11 -"
"Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?","She works 8 hours a day for $18 per hour so she makes 8*18 = $<<8*18=144.00>>144.00 per 8-hour shift
She works 10 hours a day and anything over 8 hours is eligible for overtime, so she gets 10-8 = <<10-8=2>>2 hours of overtime
Overtime is calculated as time and a half so and she makes $18/hour so her overtime pay is 18*.5 = $<<18*.5=9.00>>9.00
Her overtime pay is 18+9 = $<<18+9=27.00>>27.00
Her base pay is $144.00 per 8-hour shift and she works 5 days and makes 5 * $144 = $<<144*5=720.00>>720.00
Her overtime pay is $27.00 per hour and she works 2 hours of overtime per day and makes 27*2 = $<<27*2=54.00>>54.00 in overtime pay
2 hours of overtime pay for 5 days means she makes 54*5 = $270.00
In 5 days her base pay is $720.00 and she makes $270.00 in overtime pay so she makes $720 + $270 = $<<720+270=990.00>>990.00
#### 990",A: The answer is 12.,"A: Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, she makes $18.00 + 18.00 = $36.00. The answer is $36.00.",A: The answer is $240.00,"A: Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?"
