Name,Answer
CRAIG GUY STACY SANTANA,GYYA
GERALD MCKNIGHT KATRINA CARPENTER,DTAR
LOIS JACKSON BRENDA SHAW,SNAW
DEBORAH JONES CAROL CAIN,HSLN
MARCUS DOMINGUEZ JESSE SEXTON,SZEN
MARVIN SEXTON DOROTHY BYERS,NNYS
ERIC MCDANIEL GREGORY SANFORD,CLYD
ERNEST RIOS IDA LEVY,TSAY
RANDALL MACDONALD DOROTHY LEONARD,LDYD
CHARLENE COLLIER MARION MORENO,ERNO
JORDAN SPARKS DEBBIE LAWSON,NSEN
MARSHALL SYKES KENT HOLDEN,LSTN
FRANCES MAYER JESSE HUBBARD,SRED
MARGIE ROJAS MIGUEL ROBERSON,ESLN
IRENE MILLER CLAIRE FISCHER,ERER
IVAN LE ALLAN HANEY,NENY
SHEILA MERRITT GWENDOLYN WEBER,ATNR
JANE SHEPPARD KRISTEN PETERS,EDNS
BRIAN BENDER CLAYTON MULLEN,NRNN
HENRY HUNTER RYAN HAYDEN,YRNN
GABRIEL ROACH ALFREDO WEBER,LHOR
MARVIN AGUILAR CHARLIE MCLEOD,NRED
JANICE GROSS JOHN COLE,ESNE
MICHAEL FOLEY AGNES FISHER,LYSR
JOHN DELGADO RONNIE MORENO,NOEO
DORA WHITFIELD MARSHA NAVARRO,ADAO
EVELYN GUERRERO LAURIE EVANS,NOES
EVELYN CHANDLER CHAD MITCHELL,NRDL
RUBEN CHAMBERS HILDA COBB,NSAB
LORRAINE CARDENAS BILLY CARR,ESYR
CARLA MASSEY FRANCIS CHURCH,AYSH
VIVIAN MACIAS MABEL CLEMENTS,NSLS
DARRELL LOVE JOAN WILDER,LENR
MARGARET COFFEY MISTY WELCH,TYYH
ALVIN VAUGHAN DOLORES KEY,NNSY
SARA PICKETT ERIK LANGLEY,ATKY
JOSEPHINE REEVES JEREMY RICHMOND,ESYD
LEON MORRIS DIANA CARR,NSAR
JEFFERY SCHULTZ JONATHAN CLEMENTS,YZNS
COLLEEN KERR TERESA WOOD,NRAD
JULIO VELAZQUEZ APRIL DUKE,OZLE
KATHLEEN DAVENPORT MIRIAM SPENCE,NTME
FRED MENDEZ WILLARD YATES,DZDS
COREY JOHNSON MARION CARTER,YNNR
EDGAR PENNINGTON DEBRA GAINES,RNAS
BILLIE MEDINA RICHARD HOBBS,EADS
WILLIE COBB LARRY ROJAS,EBYS
SARA WARD BRAD JONES,ADDS
MELVIN DALE PATSY HEBERT,NEYT
JENNIFER ROCHA OLGA ACEVEDO,RAAO
JUAN JOHNSON DORA HUNT,NNAT
BERNICE WRIGHT RITA SOTO,ETAO
